patientid	celltype	predicted_proportion	class	true_proportion	sample_size
GSM3099846	Endothelial cells	0	s1 10000	0.00500469189865499	10000
GSM3099846	Epithelial cells	0.735835626467245	s1 10000	0.560838285893025	10000
GSM3099846	Mesenchymal cells	0.00139123904534062	s1 10000	0.0387863622145762	10000
GSM3099846	Myeloid cells	0.0257720693227646	s1 10000	0.00375351892399124	10000
GSM3099846	Myoepithelial cells	0.230723374661306	s1 10000	0.271504535502033	10000
GSM3099846	T cells	0.0059016501159656	s1 10000	0.0563027838598686	10000
GSM3099847	B cells	1.081992370689e-05	s1 10000	0.00284191829484902	10000
GSM3099847	Cycling cells	0.00028268536217977	s1 10000	0.0760213143872114	10000
GSM3099847	Endothelial cells	0	s1 10000	0.00674955595026643	10000
GSM3099847	Epithelial cells	0.210067332016625	s1 10000	0.322202486678508	10000
GSM3099847	Mesenchymal cells	8.664533719711e-05	s1 10000	0.0703374777975133	10000
GSM3099847	Myeloid cells	0.002177252658509	s1 10000	0	10000
GSM3099847	Myoepithelial cells	0.786715138393445	s1 10000	0.473179396092362	10000
GSM3099847	T cells	0.00066012630833719	s1 10000	0.0486678507992895	10000
GSM3099848	B cells	2.39235838367e-05	s1 10000	0.00191143676330041	10000
GSM3099848	Cycling cells	0.0281328956863153	s1 10000	0.0993947116916215	10000
GSM3099848	Endothelial cells	0	s1 10000	0.00414144632048423	10000
GSM3099848	Epithelial cells	0.163260215243179	s1 10000	0.372730168843581	10000
GSM3099848	Mesenchymal cells	0.00043259223737483	s1 10000	0.0414144632048423	10000
GSM3099848	Myeloid cells	0.00377260811578325	s1 10000	0	10000
GSM3099848	Myoepithelial cells	0.804359878754823	s1 10000	0.433577572475311	10000
GSM3099848	T cells	1.788637868864e-05	s1 10000	0.0468302007008601	10000
GSM3099849	B cells	5.41505197736e-06	s1 10000	0.00262725779967159	10000
GSM3099849	Cycling cells	0.00344532374154579	s1 10000	0.144499178981938	10000
GSM3099849	Endothelial cells	3.448927241861e-05	s1 10000	0.000656814449917898	10000
GSM3099849	Epithelial cells	0.747345492053262	s1 10000	0.649261083743842	10000
GSM3099849	Mesenchymal cells	0.00012191520845457	s1 10000	0.0105090311986864	10000
GSM3099849	Myeloid cells	0.00137418426144591	s1 10000	0	10000
GSM3099849	Myoepithelial cells	0.247673180410896	s1 10000	0.141871921182266	10000
GSM3099849	T cells	0	s1 10000	0.0505747126436782	10000
GSM5022599	B cells	0.00895891392831159	s1 10000	0.0103289977046672	10000
GSM5022599	Cycling cells	0.0863306734158314	s1 10000	0.0799540933435348	10000
